RowNumber,AnimalName,AnimalGender,AnimalBirthMonth,BreedName,Borough,ZipCode,LicenseIssuedDate,LicenseExpiredDate,Extract Year
51114,BASIL,M,2013,Pug,,11201,1/28/18,3/18/19,2018
51115,WALLY,M,2016,Dachshund,,11201,1/28/18,1/28/23,2018
51154,OSCAR,M,2011,Maltese,,11201,1/29/18,1/15/19,2018
51173,MADDY,F,2006,Jack Russell Terrier,,11201,1/29/18,1/29/19,2018
51244,PRINGLE,M,2015,French Bulldog,,11201,1/29/18,1/29/19,2018
51379,O,M,2009,Irish Terrier,,11201,1/29/18,1/1/19,2018
51453,BUFFY,F,2017,Goldendoodle,,11201,1/30/18,1/30/19,2018
51487,ZOE,F,2014,Unknown,,11201,1/30/18,2/4/19,2018
51508,RUBY,F,2004,Unknown,,11201,1/30/18,2/28/19,2018
51542,BULL,M,2015,French Bulldog,,11201,1/30/18,2/5/19,2018
51654,SPIKE,M,2011,Beagle,,11201,1/30/18,2/5/19,2018
51678,GROVER,M,2001,German Shepherd Crossbreed,,11201,1/31/18,1/30/19,2018
51686,LEIA,F,2016,Labrador Retriever,,11201,1/31/18,2/22/19,2018
51906,WILEY,M,2017,Border Collie,,11201,2/1/18,2/1/19,2018
51969,KIEFER,M,2017,Norwich Terrier,,11201,2/2/18,2/2/19,2018
51987,BIJOUX,F,2016,Yorkshire Terrier Crossbreed,,11201,2/2/18,2/2/19,2018
52004,POM-POO,M,2017,Pomeranian Crossbreed,,11201,2/2/18,2/2/19,2018
52042,LUCY,F,2009,Maltese,,11201,2/2/18,3/8/19,2018
52105,FRANKIE,F,2017,Catahoula Leopard Dog,,11201,2/3/18,2/3/19,2018
52135,PEPPER,F,2017,Labradoodle,,11201,2/3/18,2/3/19,2018
52166,ROSIE,F,2014,German Shepherd Dog,,11201,2/3/18,2/3/19,2018
52180,DUKE,M,2017,Border Collie Crossbreed,,11201,2/3/18,2/3/19,2018
52208,LIBERTY,F,2016,Schnauzer Crossbreed,,11201,2/4/18,1/10/20,2018
52217,CHARLIE,M,2012,Pug Crossbreed,,11201,2/4/18,2/4/19,2018
52222,BEAU,M,2016,Akita Crossbreed,,11201,2/4/18,2/4/19,2018
52253,JINGLES,F,2016,Cocker Spaniel Crossbreed,,11201,2/4/18,2/4/19,2018
52285,MAX,M,2007,Unknown,,11201,2/4/18,2/13/19,2018
52286,TOBY,M,2005,Shih Tzu,,11201,2/4/18,1/14/19,2018
52312,BROOKLYN,M,2014,Shih Tzu,,11201,2/4/18,1/12/21,2018
52394,RIVER,M,2017,Kooikerhondje,,11201,2/5/18,2/5/20,2018
52397,JAKE,M,2009,Unknown,,11201,2/5/18,3/26/19,2018
52442,STORMY,F,2017,Miniature Schnauzer,,11201,2/5/18,2/5/19,2018
52507,CHACHI,M,2013,Wire Fox Terrier,,11201,2/5/18,4/2/19,2018
52693,WALLY,M,2017,Welsh Springer Spaniel,,11201,2/6/18,2/6/19,2018
52790,LILLY,F,2015,Chihuahua Crossbreed,,11201,2/7/18,12/12/18,2018
52820,KANE,M,2015,American Pit Bull Mix / Pit Bull Mix,,11201,2/7/18,9/25/19,2018
52826,DOMINO,M,2017,Shih Tzu,,11201,2/7/18,2/7/20,2018
52852,SCOOTER,M,2006,Beagle Crossbreed,,11201,2/7/18,2/28/19,2018
53038,BANJO,F,2017,Rottweiler Crossbreed,,11201,2/8/18,2/8/19,2018
53072,PEPPER,F,2008,Unknown,,11201,2/8/18,2/19/19,2018
53077,OLIVER,M,2012,"Bull Dog, French",,11201,2/8/18,5/21/20,2018
53090,EBONI,M,2015,French Bulldog,,11201,2/8/18,1/13/19,2018
53210,BUTTONS,F,2012,"Shar-Pei, Chinese",,11201,2/8/18,3/7/19,2018
53218,BELLA,F,2009,Yorkshire Terrier,,11201,2/8/18,3/14/19,2018
53224,LUPA,F,2016,Australian Cattle Dog,,11201,2/8/18,2/8/19,2018
53229,SPOT,M,2017,American Staffordshire Terrier,,11201,2/9/18,2/9/19,2018
53265,BAXTER,M,2005,Dachshund,,11201,2/9/18,1/11/19,2018
53296,MARCY,F,2016,Labrador Retriever Crossbreed,,11201,2/9/18,2/9/19,2018
53318,SARGEANT,M,2012,Dachshund,,11201,2/9/18,1/11/19,2018
53357,TORO,M,2015,Labrador Retriever,,11201,2/9/18,12/18/18,2018
53365,EMMITT,M,2008,Unknown,,11201,2/9/18,1/27/19,2018
53375,POTATO,M,2016,Shih Tzu,,11201,2/9/18,2/9/19,2018
53417,LUPA,F,2016,Entlebucher Mountain Dog,,11201,2/9/18,1/12/19,2018
53490,PELE,M,2012,Portuguese Water Dog,,11201,2/10/18,4/9/23,2018
53491,BOURBON,F,2011,American Foxhound,,11201,2/10/18,3/23/19,2018
53521,XIEXIE,F,2010,Portuguese Water Dog,,11201,2/10/18,4/9/23,2018
53576,STERLING,M,2013,Unknown,,11201,2/10/18,2/19/19,2018
53742,OLIVE,F,2012,Dachshund Smooth Coat Miniature,,11201,2/11/18,10/24/18,2018
53887,TALLULAH,F,2005,Unknown,,11201,2/12/18,3/29/19,2018
53939,SGT.,M,2015,Labradoodle,,11201,2/12/18,2/12/19,2018
53984,YOGI,M,2010,Unknown,,11201,2/12/18,4/4/19,2018
53995,SAINT,F,2008,German Shepherd Crossbreed,,11201,2/12/18,3/17/19,2018
54012,MACGREGOR,M,2011,Terrier Crossbreed,,11201,2/12/18,2/12/19,2018
54077,TEXREILLY,M,2015,Unknown,,11201,2/13/18,2/13/19,2018
54139,LILY,F,2010,Boxer,,11201,2/13/18,2/20/19,2018
54183,INDIA,F,2006,Wheaton Terrier,,11201,2/13/18,3/12/19,2018
54235,PINKY,F,2015,Boston Terrier,,11201,2/13/18,2/13/19,2018
54236,SUBBY,F,2017,Terrier mix,,11201,2/13/18,2/13/19,2018
54254,ZOE,F,2011,"Mastiff, Bull",,11201,2/13/18,3/21/19,2018
54430,ONYX,M,2013,"Bull Dog, English",,11201,2/14/18,3/24/19,2018
54652,REX,M,2013,Unknown,,11201,2/15/18,12/21/18,2018
54671,OMAR,M,2010,Unknown,,11201,2/15/18,3/21/19,2018
54705,MAGGIE,F,2013,Shih Tzu Crossbreed,,11201,2/15/18,2/28/19,2018
54723,KNOX,F,2017,Maltese,,11201,2/15/18,2/15/19,2018
54725,LOUIE,M,2009,Cocker Spaniel,,11201,2/15/18,1/25/19,2018
54836,SASHA,F,2008,American Staffordshire Terrier,,11201,2/16/18,2/16/23,2018
54952,SANTAS,F,2007,Greyhound,,11201,2/16/18,4/2/20,2018
54958,ZOE,F,2007,Brussels Griffon,,11201,2/16/18,1/10/19,2018
55001,MILO,M,2010,Maltese,,11201,2/16/18,3/28/19,2018
55047,TIGERLILY,F,2005,Cocker Spaniel,,11201,2/17/18,2/17/19,2018
55137,NACHO,M,2013,Unknown,,11201,2/18/18,1/23/19,2018
55164,FREDDIE,M,2016,Cairn Terrier,,11201,2/18/18,2/18/19,2018
55220,ARCHIBALD,M,2017,Kerry Blue Terrier,,11201,2/18/18,2/18/19,2018
55234,LUCKY,M,2016,American Pit Bull Mix / Pit Bull Mix,,11201,2/19/18,2/19/19,2018
55239,ARTEMIS,F,2015,Shiba Inu,,11201,2/19/18,5/19/27,2018
55331,GOLIATH,M,2013,"Bull Dog, English",,11201,2/19/18,3/29/19,2018
55390,LEAH,F,2011,Havanese,,11201,2/20/18,4/15/19,2018
55508,GIGI,F,2015,German Shepherd Dog,,11201,2/20/18,2/20/19,2018
55513,LILO,F,2013,Staffordshire Bull Terrier,,11201,2/20/18,2/20/21,2018
55590,BOBA,M,2013,Cavalier King Charles Spaniel,,11201,2/21/18,1/17/19,2018
55724,DUKE,M,2004,Unknown,,11201,2/21/18,4/13/19,2018
55791,MABEL,F,2011,Boxer,,11201,2/21/18,4/2/19,2018
55834,RICO,M,2012,Unknown,,11201,2/22/18,3/27/19,2018
55867,RHEA,F,2010,Unknown,,11201,2/22/18,2/22/19,2018
55880,NEEMA,F,2016,Rhodesian Ridgeback,,11201,2/22/18,2/20/19,2018
55982,HENRY,M,2015,American Staffordshire Terrier,,11201,2/23/18,2/23/21,2018
56008,DACHSHUND,M,2017,Dachshund,,11201,2/23/18,2/23/19,2018
56029,SCOUT,F,2010,Labrador Retriever Crossbreed,,11201,2/23/18,4/17/19,2018
56085,CARMEN,F,2014,Wheaton Terrier,,11201,2/23/18,2/23/21,2018
56119,MIKA,F,2010,Labradoodle,,11201,2/23/18,4/17/19,2018
56317,TEDDY,M,2017,Terrier mix,,11201,2/25/18,2/25/19,2018
56331,CORY,F,2017,Soft Coated Wheaten Terrier,,11201,2/25/18,2/25/19,2018
56372,BRADY,M,2016,Terrier mix,,11201,2/25/18,2/25/19,2018
56432,JOHN,M,2017,Australian Shepherd,,11201,2/25/18,2/25/19,2018
56444,JANE,F,2013,Havanese,,11201,2/26/18,2/1/19,2018
56470,DIOGI,M,2017,Poodle,,11201,2/26/18,2/26/19,2018
56514,READY,F,2016,Jack Russell Terrier,,11201,2/26/18,2/26/19,2018
56556,KIPO,M,2012,Tibetan Terrier,,11201,2/26/18,4/23/19,2018
56597,SARA,F,2016,Terrier mix,,11201,2/26/18,2/26/19,2018
56644,NANCY,F,2016,"Poodle, Standard",,11201,2/27/18,2/27/20,2018
56678,OLIVER,M,2016,Labradoodle,,11201,2/27/18,4/6/19,2018
56694,PANTELEIMON,F,2007,Unknown,,11201,2/27/18,2/3/19,2018
